"","school_group","school_name","grade","na_num","na_pct","aa_num","aa_pct","as_num","as_pct","hi_num","hi_pct","wh_num","wh_pct","pi_pct","blank_col","tot"
"340","High Schl","FAIR HIGH SCHOOL","12","","0.0%","24","48.0%","","0.0%","8","16.0%","18","36.0%","","0.0%","50"
"341","","FAIR HIGH SCHOOL Total","","5","2.2%","105","46.3%","7","3.1%","36","15.9%","72","31.7%","2","0.9%","227"
"342","High Schl","HENRY HIGH 9","","6","2.2%","143","52.8%","68","25.1%","34","12.5%","19","7.0%","1","0.4%","271"
"343","High Schl","HENRY HIGH 10","","5","2.0%","121","48.4%","91","36.4%","19","7.6%","14","5.6%","","0.0%","250"
"344","High Schl","HENRY HIGH 11","","5","1.8%","148","53.2%","83","29.9%","26","9.4%","16","5.8%","","0.0%","278"
"345","High Schl","HENRY HIGH 12","","2","0.8%","126","48.5%","86","33.1%","25","9.6%","21","8.1%","","0.0%","260"
"346","","HENRY HIGH Total","","18","1.7%","538","50.8%","328","31.0%","104","9.8%","70","6.6%","1","0.1%","1059"
"347","High Schl","HERITAGE 6","","","0.0%","11","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","11"
"348","High Schl","HERITAGE 7","","1","4.5%","21","95.5%","","0.0%","","0.0%","","0.0%","","0.0%","22"
"349","High Schl","HERITAGE 8","","","0.0%","32","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","32"
"350","High Schl","HERITAGE 9","","","0.0%","32","97.0%","","0.0%","","0.0%","1","3.0%","","0.0%","33"
"351","High Schl","HERITAGE 10","","","0.0%","38","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","38"
"352","High Schl","HERITAGE 11","","","0.0%","43","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","43"
"353","High Schl","HERITAGE 12","","","0.0%","26","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","26"
"354","","HERITAGE Total","","1","0.5%","203","99.0%","0","0.0%","0","0.0%","1","0.5%","0","0.0%","205"
"355","High Schl","NORTH ACADEMY 9","","1","0.8%","115","92.0%","2","1.6%","4","3.2%","3","2.4%","","0.0%","125"
"356","High Schl","NORTH ACADEMY 10","","3","2.4%","113","89.0%","2","1.6%","6","4.7%","3","2.4%","","0.0%","127"
"357","High Schl","NORTH ACADEMY 11","","1","0.9%","95","88.0%","3","2.8%","8","7.4%","1","0.9%","","0.0%","108"
"358","High Schl","NORTH ACADEMY 12","","","0.0%","80","90.9%","2","2.3%","3","3.4%","3","3.4%","","0.0%","88"
"359","","NORTH ACADEMY Total","","5","1.1%","403","90.0%","9","2.0%","21","4.7%","10","2.2%","0","0.0%","448"
"360","High Schl","ROOSEVELT HIGH 9","","11","4.2%","99","37.9%","15","5.7%","80","30.7%","56","21.5%","","0.0%","261"
"361","High Schl","ROOSEVELT HIGH 10","","17","6.5%","85","32.7%","9","3.5%","96","36.9%","52","20.0%","1","0.4%","260"
"362","High Schl","ROOSEVELT HIGH 11","","2","0.8%","86","34.0%","8","3.2%","89","35.2%","68","26.9%","","0.0%","253"
"363","High Schl","ROOSEVELT HIGH 12","","18","7.3%","90","36.6%","10","4.1%","73","29.7%","55","22.4%","","0.0%","246"
"364","","ROOSEVELT HIGH Total","","48","4.7%","360","35.3%","42","4.1%","338","33.1%","231","22.6%","1","0.1%","1020"
"365","High Schl","SOUTH HIGH 9","","31","6.6%","172","36.4%","13","2.8%","100","21.2%","155","32.8%","1","0.2%","472"
"366","High Schl","SOUTH HIGH 10","","39","9.1%","160","37.2%","15","3.5%","56","13.0%","160","37.2%","","0.0%","430"
